"Subject" "Activity" "Feature" "Mean"
1 "STANDING" "tGravityAccMag-std()" -0.497096402038329
1 "STANDING" "tBodyAccJerkMag-mean()" -0.545431612066571
1 "STANDING" "tBodyAccJerkMag-std()" -0.515922167555159
1 "STANDING" "tBodyGyroMag-mean()" -0.475404785802305
1 "STANDING" "tBodyGyroMag-std()" -0.499839593745821
1 "STANDING" "tBodyGyroJerkMag-mean()" -0.639517432642651
1 "STANDING" "tBodyGyroJerkMag-std()" -0.652050770910663
1 "STANDING" "fBodyAcc-mean()-X" -0.531895161258213
1 "STANDING" "fBodyAcc-mean()-Y" -0.406435448904438
1 "STANDING" "fBodyAcc-mean()-Z" -0.596411165253602
1 "STANDING" "fBodyAcc-std()-X" -0.553060616663401
1 "STANDING" "fBodyAcc-std()-Y" -0.390150939647061
1 "STANDING" "fBodyAcc-std()-Z" -0.498583091676081
1 "STANDING" "fBodyAcc-meanFreq()-X" -0.180558714010749
1 "STANDING" "fBodyAcc-meanFreq()-Y" 0.0576291646962536
1 "STANDING" "fBodyAcc-meanFreq()-Z" 0.0583692776609798
1 "STANDING" "fBodyAccJerk-mean()-X" -0.547348892435764
1 "STANDING" "fBodyAccJerk-mean()-Y" -0.507343617969859
1 "STANDING" "fBodyAccJerk-mean()-Z" -0.695305113832853
1 "STANDING" "fBodyAccJerk-std()-X" -0.543979776127867
1 "STANDING" "fBodyAccJerk-std()-Y" -0.466251676533372
1 "STANDING" "fBodyAccJerk-std()-Z" -0.737861932680115
1 "STANDING" "fBodyAccJerk-meanFreq()-X" -0.0488005965884726
1 "STANDING" "fBodyAccJerk-meanFreq()-Y" -0.21527915818415
1 "STANDING" "fBodyAccJerk-meanFreq()-Z" -0.0964496376997118
1 "STANDING" "fBodyGyro-mean()-X" -0.623219182311527
1 "STANDING" "fBodyGyro-mean()-Y" -0.505309434070029
1 "STANDING" "fBodyGyro-mean()-Z" -0.553529065425648
1 "STANDING" "fBodyGyro-std()-X" -0.708263420861671
1 "STANDING" "fBodyGyro-std()-Y" -0.429825832648703
1 "STANDING" "fBodyGyro-std()-Z" -0.650476162132565
1 "STANDING" "fBodyGyro-meanFreq()-X" -0.0320324102759078
1 "STANDING" "fBodyGyro-meanFreq()-Y" -0.0901517235974063
1 "STANDING" "fBodyGyro-meanFreq()-Z" -0.0180063943472334
1 "STANDING" "fBodyAccMag-mean()" -0.478448523354179
1 "STANDING" "fBodyAccMag-std()" -0.589710231217867
1 "STANDING" "fBodyAccMag-meanFreq()" 0.142062162506138
1 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.499075765624092
1 "STANDING" "fBodyBodyAccJerkMag-std()" -0.541823079570029
1 "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.200055179527839
1 "STANDING" "fBodyBodyGyroMag-mean()" -0.535002770337752
1 "STANDING" "fBodyBodyGyroMag-std()" -0.566576670397695
1 "STANDING" "fBodyBodyGyroMag-meanFreq()" 0.0649309438160231
1 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.645970655298847
1 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.685811262634006
1 "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.198031580056455
2 "STANDING" "tBodyAcc-mean()-X" 0.273113115788079
2 "STANDING" "tBodyAcc-mean()-Y" -0.0191323183174834
2 "STANDING" "tBodyAcc-mean()-Z" -0.115649958175497
2 "STANDING" "tBodyAcc-std()-X" -0.605586497159271
2 "STANDING" "tBodyAcc-std()-Y" -0.428962986589404
2 "STANDING" "tBodyAcc-std()-Z" -0.589360062210596
2 "STANDING" "tGravityAcc-mean()-X" 0.660782866688742
2 "STANDING" "tGravityAcc-mean()-Y" -0.147219886910411
2 "STANDING" "tGravityAcc-mean()-Z" 0.134865335090728
2 "STANDING" "tGravityAcc-std()-X" -0.963015508245033
2 "STANDING" "tGravityAcc-std()-Y" -0.960033560165563
2 "STANDING" "tGravityAcc-std()-Z" -0.945365383907285
2 "STANDING" "tBodyAccJerk-mean()-X" 0.0785353156747351
2 "STANDING" "tBodyAccJerk-mean()-Y" 0.00708771249764901
2 "STANDING" "tBodyAccJerk-mean()-Z" 0.000755760748377483
2 "STANDING" "tBodyAccJerk-std()-X" -0.557809603123841
2 "STANDING" "tBodyAccJerk-std()-Y" -0.491875889831788
2 "STANDING" "tBodyAccJerk-std()-Z" -0.741885388311258
2 "STANDING" "tBodyGyro-mean()-X" -0.0517030657821192
2 "STANDING" "tBodyGyro-mean()-Y" -0.0568420186817881
2 "STANDING" "tBodyGyro-mean()-Z" 0.0872599422291391
2 "STANDING" "tBodyGyro-std()-X" -0.710648927815894
2 "STANDING" "tBodyGyro-std()-Y" -0.722943674337748
2 "STANDING" "tBodyGyro-std()-Z" -0.634888927843046
2 "STANDING" "tBodyGyroJerk-mean()-X" -0.0875587491668874
2 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0433986835453642
2 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0557541828188742
2 "STANDING" "tBodyGyroJerk-std()-X" -0.671679103311258
2 "STANDING" "tBodyGyroJerk-std()-Y" -0.783595466728477
2 "STANDING" "tBodyGyroJerk-std()-Z" -0.674611933293046
2 "STANDING" "tBodyAccMag-mean()" -0.535281800541722
2 "STANDING" "tBodyAccMag-std()" -0.552812545643709
2 "STANDING" "tGravityAccMag-mean()" -0.535281800541722
2 "STANDING" "tGravityAccMag-std()" -0.552812545643709
2 "STANDING" "tBodyAccJerkMag-mean()" -0.58777744543543
2 "STANDING" "tBodyAccJerkMag-std()" -0.512115278415232
2 "STANDING" "tBodyGyroMag-mean()" -0.614771054893146
2 "STANDING" "tBodyGyroMag-std()" -0.680584887880795
2 "STANDING" "tBodyGyroJerkMag-mean()" -0.746559539039735
2 "STANDING" "tBodyGyroJerkMag-std()" -0.740088733655629
2 "STANDING" "fBodyAcc-mean()-X" -0.57377091142947
2 "STANDING" "fBodyAcc-mean()-Y" -0.432566581302351
2 "STANDING" "fBodyAcc-mean()-Z" -0.630081222124834
2 "STANDING" "fBodyAcc-std()-X" -0.619788102803311
2 "STANDING" "fBodyAcc-std()-Y" -0.464723862913245
2 "STANDING" "fBodyAcc-std()-Z" -0.600678614835099
2 "STANDING" "fBodyAcc-meanFreq()-X" -0.106763418901788
2 "STANDING" "fBodyAcc-meanFreq()-Y" 0.105734176023146
2 "STANDING" "fBodyAcc-meanFreq()-Z" 0.087210586428
2 "STANDING" "fBodyAccJerk-mean()-X" -0.561682049622185
2 "STANDING" "fBodyAccJerk-mean()-Y" -0.50890379901457
2 "STANDING" "fBodyAccJerk-mean()-Z" -0.715745330403973
2 "STANDING" "fBodyAccJerk-std()-X" -0.595105612895033
2 "STANDING" "fBodyAccJerk-std()-Y" -0.509147543673841
2 "STANDING" "fBodyAccJerk-std()-Z" -0.767087015496689
2 "STANDING" "fBodyAccJerk-meanFreq()-X" 0.0868000536209801
2 "STANDING" "fBodyAccJerk-meanFreq()-Y" -0.139776595362185
2 "STANDING" "fBodyAccJerk-meanFreq()-Z" -0.0942651868218543
2 "STANDING" "fBodyGyro-mean()-X" -0.638717694593046
2 "STANDING" "fBodyGyro-mean()-Y" -0.722068978635762
2 "STANDING" "fBodyGyro-mean()-Z" -0.601594889654305
2 "STANDING" "fBodyGyro-std()-X" -0.734588540182119
2 "STANDING" "fBodyGyro-std()-Y" -0.72716774102649
2 "STANDING" "fBodyGyro-std()-Z" -0.683114494539735
2 "STANDING" "fBodyGyro-meanFreq()-X" -0.00576500648245033
2 "STANDING" "fBodyGyro-meanFreq()-Y" -0.0702155008665563
2 "STANDING" "fBodyGyro-meanFreq()-Z" 0.0513627291214901
2 "STANDING" "fBodyAccMag-mean()" -0.514569861316887
2 "STANDING" "fBodyAccMag-std()" -0.646662308457285
2 "STANDING" "fBodyAccMag-meanFreq()" 0.192199738218212
2 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.509746432970861
2 "STANDING" "fBodyBodyAccJerkMag-std()" -0.518800797709272
2 "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.193066821118212
2 "STANDING" "fBodyBodyGyroMag-mean()" -0.699742945221854
2 "STANDING" "fBodyBodyGyroMag-std()" -0.725310337688742
2 "STANDING" "fBodyBodyGyroMag-meanFreq()" 0.0471324812379801
2 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.751615078360927
2 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.744194981440397
2 "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.124612068599768
3 "STANDING" "tBodyAcc-mean()-X" 0.273428719636364
3 "STANDING" "tBodyAcc-mean()-Y" -0.017856067384956
3 "STANDING" "tBodyAcc-mean()-Z" -0.106492632429097
3 "STANDING" "tBodyAcc-std()-X" -0.623413602046921
3 "STANDING" "tBodyAcc-std()-Y" -0.480015920697654
3 "STANDING" "tBodyAcc-std()-Z" -0.653625579293255
3 "STANDING" "tGravityAcc-mean()-X" 0.707814353343108
3 "STANDING" "tGravityAcc-mean()-Y" -0.0260590480328739
3 "STANDING" "tGravityAcc-mean()-Z" 0.0480937904190616
3 "STANDING" "tGravityAcc-std()-X" -0.966457565630499
3 "STANDING" "tGravityAcc-std()-Y" -0.9445645371261
3 "STANDING" "tGravityAcc-std()-Z" -0.926966278211144
3 "STANDING" "tBodyAccJerk-mean()-X" 0.0701731261988856
3 "STANDING" "tBodyAccJerk-mean()-Y" 0.0144664329060411
3 "STANDING" "tBodyAccJerk-mean()-Z" -0.000526818872875366
3 "STANDING" "tBodyAccJerk-std()-X" -0.635484688041056
3 "STANDING" "tBodyAccJerk-std()-Y" -0.55721186773783
3 "STANDING" "tBodyAccJerk-std()-Z" -0.796066240234604
3 "STANDING" "tBodyGyro-mean()-X" -0.0248490682828446
3 "STANDING" "tBodyGyro-mean()-Y" -0.0743565308442815
3 "STANDING" "tBodyGyro-mean()-Z" 0.0866875497119062
3 "STANDING" "tBodyGyro-std()-X" -0.699262195705865
3 "STANDING" "tBodyGyro-std()-Y" -0.76302218170088
3 "STANDING" "tBodyGyro-std()-Z" -0.709483440322581
3 "STANDING" "tBodyGyroJerk-mean()-X" -0.0991554609633431
3 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0401923943695015
3 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0521178264170088
3 "STANDING" "tBodyGyroJerk-std()-X" -0.689328428607038
3 "STANDING" "tBodyGyroJerk-std()-Y" -0.842659862111437
3 "STANDING" "tBodyGyroJerk-std()-Z" -0.743028500565982
3 "STANDING" "tBodyAccMag-mean()" -0.563140802770059
3 "STANDING" "tBodyAccMag-std()" -0.591224780306452
3 "STANDING" "tGravityAccMag-mean()" -0.563140802770059
3 "STANDING" "tGravityAccMag-std()" -0.591224780306452
3 "STANDING" "tBodyAccJerkMag-mean()" -0.650182434328446
3 "STANDING" "tBodyAccJerkMag-std()" -0.607658214170381
3 "STANDING" "tBodyGyroMag-mean()" -0.643150121648094
3 "STANDING" "tBodyGyroMag-std()" -0.674010290979472
3 "STANDING" "tBodyGyroJerkMag-mean()" -0.784056656246334
3 "STANDING" "tBodyGyroJerkMag-std()" -0.80366136372434
3 "STANDING" "fBodyAcc-mean()-X" -0.625733289873607
3 "STANDING" "fBodyAcc-mean()-Y" -0.501779938505279
3 "STANDING" "fBodyAcc-mean()-Z" -0.699656828592375
3 "STANDING" "fBodyAcc-std()-X" -0.623805015199413
3 "STANDING" "fBodyAcc-std()-Y" -0.502753639795894
3 "STANDING" "fBodyAcc-std()-Z" -0.657443765803519
3 "STANDING" "fBodyAcc-meanFreq()-X" -0.192817340495308
3 "STANDING" "fBodyAcc-meanFreq()-Y" 0.0389282523284457
3 "STANDING" "fBodyAcc-meanFreq()-Z" 0.00447261449052786
3 "STANDING" "fBodyAccJerk-mean()-X" -0.645893496630499
3 "STANDING" "fBodyAccJerk-mean()-Y" -0.582949919157742
3 "STANDING" "fBodyAccJerk-mean()-Z" -0.780101644193548
3 "STANDING" "fBodyAccJerk-std()-X" -0.657844055881525
3 "STANDING" "fBodyAccJerk-std()-Y" -0.559851186088408
3 "STANDING" "fBodyAccJerk-std()-Z" -0.81080601659824
3 "STANDING" "fBodyAccJerk-meanFreq()-X" -0.0476941200470968
3 "STANDING" "fBodyAccJerk-meanFreq()-Y" -0.236874240885924
3 "STANDING" "fBodyAccJerk-meanFreq()-Z" -0.193657539305073
3 "STANDING" "fBodyGyro-mean()-X" -0.642097719778592
3 "STANDING" "fBodyGyro-mean()-Y" -0.775144985073314
3 "STANDING" "fBodyGyro-mean()-Z" -0.670734708996481
3 "STANDING" "fBodyGyro-std()-X" -0.719276622702346
3 "STANDING" "fBodyGyro-std()-Y" -0.758505287214076
3 "STANDING" "fBodyGyro-std()-Z" -0.751008875659824
3 "STANDING" "fBodyGyro-meanFreq()-X" -0.102568067670674
3 "STANDING" "fBodyGyro-meanFreq()-Y" -0.167675025582991
3 "STANDING" "fBodyGyro-meanFreq()-Z" -0.0321862688221114
3 "STANDING" "fBodyAccMag-mean()" -0.579076453758064
3 "STANDING" "fBodyAccMag-std()" -0.663079838985044
3 "STANDING" "fBodyAccMag-meanFreq()" 0.0770665587562757
3 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.604752108072727
3 "STANDING" "fBodyBodyAccJerkMag-std()" -0.615643694857361
3 "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.11231984174566
3 "STANDING" "fBodyBodyGyroMag-mean()" -0.716822144279179
3 "STANDING" "fBodyBodyGyroMag-std()" -0.703839403007038
3 "STANDING" "fBodyBodyGyroMag-meanFreq()" -0.0846075231245126
3 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.810085498651026
3 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.810032718739003
3 "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.0599628733252199
4 "SITTING" "tBodyAcc-mean()-X" 0.272539814977012
4 "SITTING" "tBodyAcc-mean()-Y" -0.0196269625326897
4 "SITTING" "tBodyAcc-mean()-Z" -0.11315608545977
4 "SITTING" "tBodyAcc-std()-X" -0.281964430525287
4 "SITTING" "tBodyAcc-std()-Y" -0.17613742984931
4 "SITTING" "tBodyAcc-std()-Z" -0.549282546551724
4 "SITTING" "tGravityAcc-mean()-X" 0.764436780229885
4 "SITTING" "tGravityAcc-mean()-Y" 0.044337788916092
4 "SITTING" "tGravityAcc-mean()-Z" 0.125457421218391
4 "SITTING" "tGravityAcc-std()-X" -0.956953066206897
4 "SITTING" "tGravityAcc-std()-Y" -0.938823037356322
4 "SITTING" "tGravityAcc-std()-Z" -0.949282320574713
4 "SITTING" "tBodyAccJerk-mean()-X" 0.0775713294482759
4 "SITTING" "tBodyAccJerk-mean()-Y" 0.0174117419027931
4 "SITTING" "tBodyAccJerk-mean()-Z" -0.00360800725517241
4 "SITTING" "tBodyAccJerk-std()-X" -0.336788403446092
4 "SITTING" "tBodyAccJerk-std()-Y" -0.251158235097701
4 "SITTING" "tBodyAccJerk-std()-Z" -0.753874834367816
4 "SITTING" "tBodyGyro-mean()-X" -0.0232873082755172
4 "SITTING" "tBodyGyro-mean()-Y" -0.0839998463471264
4 "SITTING" "tBodyGyro-mean()-Z" 0.0868888209068965
4 "SITTING" "tBodyGyro-std()-X" -0.483022565356322
4 "SITTING" "tBodyGyro-std()-Y" -0.667520037241379
4 "SITTING" "tBodyGyro-std()-Z" -0.603180896781609
4 "SITTING" "tBodyGyroJerk-mean()-X" -0.116189387751724
4 "SITTING" "tBodyGyroJerk-mean()-Y" -0.035932478745977
4 "SITTING" "tBodyGyroJerk-mean()-Z" -0.0493020654252874
4 "SITTING" "tBodyGyroJerk-std()-X" -0.503054162298851
4 "SITTING" "tBodyGyroJerk-std()-Y" -0.849875585632184
4 "SITTING" "tBodyGyroJerk-std()-Z" -0.565894748356322
4 "SITTING" "tBodyAccMag-mean()" -0.241791763733333
4 "SITTING" "tBodyAccMag-std()" -0.34509942083908
4 "SITTING" "tGravityAccMag-mean()" -0.241791763733333
4 "SITTING" "tGravityAccMag-std()" -0.34509942083908
4 "SITTING" "tBodyAccJerkMag-mean()" -0.382594780214138
4 "SITTING" "tBodyAccJerkMag-std()" -0.383932867114943
4 "SITTING" "tBodyGyroMag-mean()" -0.43332133988046
4 "SITTING" "tBodyGyroMag-std()" -0.52562316816092
4 "SITTING" "tBodyGyroJerkMag-mean()" -0.686436698735632
4 "SITTING" "tBodyGyroJerkMag-std()" -0.733322662413793
4 "SITTING" "fBodyAcc-mean()-X" -0.334927219252874
4 "SITTING" "fBodyAcc-mean()-Y" -0.183638950334483
4 "SITTING" "fBodyAcc-mean()-Z" -0.611943277701149
4 "SITTING" "fBodyAcc-std()-X" -0.263682625386207
4 "SITTING" "fBodyAcc-std()-Y" -0.228399871908161
4 "SITTING" "fBodyAcc-std()-Z" -0.552873982298851
4 "SITTING" "fBodyAcc-meanFreq()-X" -0.288644777227586
4 "SITTING" "fBodyAcc-meanFreq()-Y" 0.1315536406
4 "SITTING" "fBodyAcc-meanFreq()-Z" -0.055979845282092
4 "SITTING" "fBodyAccJerk-mean()-X" -0.372550915445977
4 "SITTING" "fBodyAccJerk-mean()-Y" -0.285192418755862
4 "SITTING" "fBodyAccJerk-mean()-Z" -0.720976018160919
4 "SITTING" "fBodyAccJerk-std()-X" -0.360214003509195
4 "SITTING" "fBodyAccJerk-std()-Y" -0.265772746463218
4 "SITTING" "fBodyAccJerk-std()-Z" -0.786448766436782
4 "SITTING" "fBodyAccJerk-meanFreq()-X" -0.14938759582977
4 "SITTING" "fBodyAccJerk-meanFreq()-Y" -0.247045855852874
4 "SITTING" "fBodyAccJerk-meanFreq()-Z" -0.226417574885057
4 "SITTING" "fBodyGyro-mean()-X" -0.366240979524138
4 "SITTING" "fBodyGyro-mean()-Y" -0.732761832528736
4 "SITTING" "fBodyGyro-mean()-Z" -0.515054256965517
4 "SITTING" "fBodyGyro-std()-X" -0.522176196827586
4 "SITTING" "fBodyGyro-std()-Y" -0.637891595977012
4 "SITTING" "fBodyGyro-std()-Z" -0.675508491034483
4 "SITTING" "fBodyGyro-meanFreq()-X" -0.110704448928736
4 "SITTING" "fBodyGyro-meanFreq()-Y" -0.393188059850575
4 "SITTING" "fBodyGyro-meanFreq()-Z" 0.187963566470115
4 "SITTING" "fBodyAccMag-mean()" -0.32662695802069
4 "SITTING" "fBodyAccMag-std()" -0.461404361413793
4 "SITTING" "fBodyAccMag-meanFreq()" 0.16853958884023
4 "SITTING" "fBodyBodyAccJerkMag-mean()" -0.35743173438046
4 "SITTING" "fBodyBodyAccJerkMag-std()" -0.425759905436782
4 "SITTING" "fBodyBodyAccJerkMag-meanFreq()" 0.139974876874713
4 "SITTING" "fBodyBodyGyroMag-mean()" -0.577405288747126
4 "SITTING" "fBodyBodyGyroMag-std()" -0.57467201045977
4 "SITTING" "fBodyBodyGyroMag-meanFreq()" -0.0148733344968966
4 "SITTING" "fBodyBodyGyroJerkMag-mean()" -0.719798534367816
4 "SITTING" "fBodyBodyGyroJerkMag-std()" -0.771924614712644
4 "SITTING" "fBodyBodyGyroJerkMag-meanFreq()" 0.248646947515517
4 "STANDING" "tBodyAcc-mean()-X" 0.274804706269565
4 "STANDING" "tBodyAcc-mean()-Y" -0.0129853880308261
4 "STANDING" "tBodyAcc-mean()-Z" -0.105390061443478
4 "STANDING" "tBodyAcc-std()-X" -0.727483531531739
4 "STANDING" "tBodyAcc-std()-Y" -0.636189818846522
4 "STANDING" "tBodyAcc-std()-Z" -0.770093981521739
4 "STANDING" "tGravityAcc-mean()-X" 0.684713020826087
4 "STANDING" "tGravityAcc-mean()-Y" 0.138408788421064
4 "STANDING" "tGravityAcc-mean()-Z" 0.178759559052174
4 "STANDING" "tGravityAcc-std()-X" -0.964786981173913
4 "STANDING" "tGravityAcc-std()-Y" -0.942397919143478
4 "STANDING" "tGravityAcc-std()-Z" -0.938423148586957
4 "STANDING" "tBodyAccJerk-mean()-X" 0.0793526696926087
4 "STANDING" "tBodyAccJerk-mean()-Y" -0.00174378580688261
4 "STANDING" "tBodyAccJerk-mean()-Z" -0.00879818509382609
4 "STANDING" "tBodyAccJerk-std()-X" -0.743464505665217
4 "STANDING" "tBodyAccJerk-std()-Y" -0.709988127986957
4 "STANDING" "tBodyAccJerk-std()-Z" -0.877199407347826
4 "STANDING" "tBodyGyro-mean()-X" -0.031080660126087
4 "STANDING" "tBodyGyro-mean()-Y" -0.0767269628026087
4 "STANDING" "tBodyGyro-mean()-Z" 0.0990570253634783
4 "STANDING" "tBodyGyro-std()-X" -0.784000472965217
4 "STANDING" "tBodyGyro-std()-Y" -0.847680387434783
4 "STANDING" "tBodyGyro-std()-Z" -0.772973401956522
4 "STANDING" "tBodyGyroJerk-mean()-X" -0.104708375420435
4 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0415975150691304
4 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0610267445426957
4 "STANDING" "tBodyGyroJerk-std()-X" -0.807283824913044
4 "STANDING" "tBodyGyroJerk-std()-Y" -0.922409330043478
4 "STANDING" "tBodyGyroJerk-std()-Z" -0.817392063869565
4 "STANDING" "tBodyAccMag-mean()" -0.682546319061304
4 "STANDING" "tBodyAccMag-std()" -0.705454861278261
4 "STANDING" "tGravityAccMag-mean()" -0.682546319061304
4 "STANDING" "tGravityAccMag-std()" -0.705454861278261
4 "STANDING" "tBodyAccJerkMag-mean()" -0.75957880426087
4 "STANDING" "tBodyAccJerkMag-std()" -0.746852521913044
4 "STANDING" "tBodyGyroMag-mean()" -0.740631826869565
4 "STANDING" "tBodyGyroMag-std()" -0.775247334013043
4 "STANDING" "tBodyGyroJerkMag-mean()" -0.869407264695652
4 "STANDING" "tBodyGyroJerkMag-std()" -0.886122729173913
4 "STANDING" "fBodyAcc-mean()-X" -0.739969365652174
4 "STANDING" "fBodyAcc-mean()-Y" -0.655273777351739
4 "STANDING" "fBodyAcc-mean()-Z" -0.809437242608696
4 "STANDING" "fBodyAcc-std()-X" -0.723840788472826
4 "STANDING" "fBodyAcc-std()-Y" -0.650508323306087
4 "STANDING" "fBodyAcc-std()-Z" -0.767731153913043
4 "STANDING" "fBodyAcc-meanFreq()-X" -0.145131702128609
4 "STANDING" "fBodyAcc-meanFreq()-Y" 0.0670746183421739
4 "STANDING" "fBodyAcc-meanFreq()-Z" -0.00144184246847826
4 "STANDING" "fBodyAccJerk-mean()-X" -0.757736461280435
4 "STANDING" "fBodyAccJerk-mean()-Y" -0.72141722826087
4 "STANDING" "fBodyAccJerk-mean()-Z" -0.864561654652174
4 "STANDING" "fBodyAccJerk-std()-X" -0.752202422547826
4 "STANDING" "fBodyAccJerk-std()-Y" -0.717955887352174
4 "STANDING" "fBodyAccJerk-std()-Z" -0.888572248652174
4 "STANDING" "fBodyAccJerk-meanFreq()-X" 0.0557577192943913
4 "STANDING" "fBodyAccJerk-meanFreq()-Y" -0.155444234118261
4 "STANDING" "fBodyAccJerk-meanFreq()-Z" -0.0667432614143478
4 "STANDING" "fBodyGyro-mean()-X" -0.746146181156522
4 "STANDING" "fBodyGyro-mean()-Y" -0.86888673
4 "STANDING" "fBodyGyro-mean()-Z" -0.755222676782609
4 "STANDING" "fBodyGyro-std()-X" -0.797239840256522
4 "STANDING" "fBodyGyro-std()-Y" -0.837731345304348
4 "STANDING" "fBodyGyro-std()-Z" -0.801731112652174
4 "STANDING" "fBodyGyro-meanFreq()-X" -0.121473853430391
4 "STANDING" "fBodyGyro-meanFreq()-Y" -0.368578501827826
4 "STANDING" "fBodyGyro-meanFreq()-Z" -0.0377605921734783
4 "STANDING" "fBodyAccMag-mean()" -0.706297967808696
4 "STANDING" "fBodyAccMag-std()" -0.752967151617391
4 "STANDING" "fBodyAccMag-meanFreq()" 0.0690623427061739
4 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.740019407930435
4 "STANDING" "fBodyBodyAccJerkMag-std()" -0.757571817956522
4 "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.168236123840696
4 "STANDING" "fBodyBodyGyroMag-mean()" -0.809291430826087
4 "STANDING" "fBodyBodyGyroMag-std()" -0.792319103130435
4 "STANDING" "fBodyBodyGyroMag-meanFreq()" -0.172585221170435
4 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.883859369434783
4 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.897583758347826
4 "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.125194439949565
5 "STANDING" "tBodyAcc-mean()-X" 0.279177960301325
5 "STANDING" "tBodyAcc-mean()-Y" -0.0154833455336192
5 "STANDING" "tBodyAcc-mean()-Z" -0.105661736816887
5 "STANDING" "tBodyAcc-std()-X" -0.507691011391722
5 "STANDING" "tBodyAcc-std()-Y" -0.402724906078146
5 "STANDING" "tBodyAcc-std()-Z" -0.646443640175497
5 "STANDING" "tGravityAcc-mean()-X" 0.698153719072848
5 "STANDING" "tGravityAcc-mean()-Y" 0.112313109736755
5 "STANDING" "tGravityAcc-mean()-Z" 0.0921607197449904
5 "STANDING" "tGravityAcc-std()-X" -0.964629108807947
5 "STANDING" "tGravityAcc-std()-Y" -0.939973777950331
5 "STANDING" "tGravityAcc-std()-Z" -0.94207867884106
5 "STANDING" "tBodyAccJerk-mean()-X" 0.0841019899622517
5 "STANDING" "tBodyAccJerk-mean()-Y" 0.0017656830384106
5 "STANDING" "tBodyAccJerk-mean()-Z" -0.0029537113427351
5 "STANDING" "tBodyAccJerk-std()-X" -0.575890535679801
